logFC	logCPM	LR	PValue	FDR
A1BG	1.20654984647418	1.669345568148	9.04299518040986	0.00263703247903858	0.00930518845442672
AADAC	-1.54701709689055	3.17243667578599	5.10291342266601	0.0238856922125653	0.0570052329833238
AASS	-1.08337823323599	3.91691522530035	15.9754323423429	6.41698450582683e-05	0.00040388451678342
ABCA10	-1.20699851703659	0.878017876139237	7.73762056900983	0.00540820180943881	0.0168272118358562
ABCA13	3.78593817495765	5.44691602936212	13.8819438092777	0.000194659635386322	0.00103682693520054
ABCA2	-1.56701232691188	6.85546326764648	29.4099909366061	5.85748868847845e-08	8.1268050608701e-07
ABCA3	-1.0304110556431	4.53448361104635	5.04439873788257	0.0247056800381981	0.0585609564802274
ABCA6	-2.36825205982862	1.86900042635228	33.4184034202937	7.43173854992036e-09	1.25307632416237e-07
ABCA8	-3.44632628703561	2.94038715237118	41.3618057324709	1.26505132877048e-10	2.9847093382542e-09
ABCA9	-2.96150930634903	1.55326818497645	49.3138254078878	2.18119816584103e-12	7.16385581217664e-11
ABCC2	2.97799974004093	3.01343729492812	9.62878284705886	0.00191551508231501	0.0071298531016652
ABCC9	-2.3423714932692	3.7945964661895	46.7600060718962	8.02342225685052e-12	2.29865837644315e-10
ABHD11	1.31011387519066	5.27460801897263	14.8911775563583	0.00011389440122025	0.000658587284644486
ABI3BP	-2.93725981980348	4.74009076389435	47.7040880060478	4.95656997113302e-12	1.50126224571892e-10
ABL1	-1.22265230727279	7.32671844611041	56.8614585066876	4.67621321337399e-14	2.1641383948328e-12
ABLIM3	-1.21411108978934	4.73985184943489	11.4035636116755	0.00073303355887689	0.00316452452227479
ACACB	-2.79033462585271	4.91325943832585	111.62450587258	4.31816919947601e-26	1.07840165140122e-23
ACADM	-1.03961599208078	5.41532836003864	32.3106640918545	1.31390260168174e-08	2.10797755586175e-07
ACADSB	-1.72900456321571	4.88078009647913	66.1031822628221	4.27924329758682e-16	2.86060930741713e-14
ACADS	-1.57833298285694	4.80858174274051	57.26953030268	3.7999686459975e-14	1.76478543854116e-12
ACADVL	-1.09689432061721	7.45498965067428	47.9768788144868	4.312750444489e-12	1.33061922804793e-10
ACAN	2.5688058830396	3.49050028124158	15.2374699835384	9.48036321678289e-05	0.000561627156047854
ACAT1	-1.75597139442497	5.07808753669371	82.8339254607329	8.92450549959252e-20	1.08371334672116e-17
ACBD7	2.19446673019862	2.02182566602518	14.9799254372054	0.00010866099426945	0.00063080566673265
ACE2	1.91976277679979	3.56384565991713	5.5540908131176	0.0184375467793276	0.0460886438472484
ACER2	-2.3874943802941	3.89516110695907	47.1559095772865	6.5558691757641e-12	1.9325943075816e-10
ACHE	2.26742396030552	4.78728472548983	7.15433638253057	0.00747829589977513	0.0219327995855138
ACLY	1.05093772097054	8.13507209888865	7.97596372683307	0.00474025136219351	0.0151367833606739
ACN9	1.14059363114468	4.12512716053377	10.0879842084914	0.00149239274071946	0.00575394999014353
ACO2	-1.44427224173076	7.35058111499098	100.957668498908	9.39704152950713e-24	1.91352679514702e-21
ACOT4	1.0524263387691	1.76186031965779	8.63684649848645	0.0032943116965189	0.0111832545819759
