CellName	ControlMean	TreatMean	PValue
aDC	0.0526003070587945	0.16788653441757	6.10000076308921e-05
Adipocytes	0.0234300456520372	0.00338214940861293	0.00363466905961852
Astrocytes	0.0649397010411073	0.0809054805719671	0.469025069374968
B-cells	0.013028395426361	0.0152660192058088	0.855292463410332
Basophils	0.0665489397575728	0.0720011784651913	0.749065298240803
CD4+ memory T-cells	6.99281032443175e-19	0.00154759868517345	0.000562574320381438
CD4+ naive T-cells	0.000243887289176326	0.00512674474728522	0.0325549393512477
CD4+ T-cells	2.54412062851404e-18	0.000235875858959652	0.218984754176744
CD4+ Tcm	0.0104493404921269	0.00204814075520996	0.0689099707411699
CD4+ Tem	0.00603329269973415	0.000652027125509575	0.205439803462169
CD8+ naive T-cells	0.000538572531926872	0.00654768758460419	2.59712760404805e-10
CD8+ T-cells	1.49980924490535e-18	0.00351411495919064	0.0258841216996043
CD8+ Tcm	4.81792453927572e-18	0.00419975720686009	0.0219517613623363
CD8+ Tem	7.38157941384191e-19	0.00163364487237186	0.0651681759005113
cDC	0.0338869249843178	0.0347125275121082	0.957898999473562
Chondrocytes	0.0861738977012773	0.0215072775530909	0.0184882123038604
Class-switched memory B-cells	0.0121033622613588	0.011824526395919	0.969968231941508
CLP	0.0222564741735258	0.0653296323275986	0.00101464668175382
CMP	0.0164646303514567	0.00172666271749514	0.00596784988563158
DC	0.00730057341660766	0.0110409945884121	0.512133263580645
Endothelial cells	0.10437102857031	0.0517928623101369	0.0851729057172434
Eosinophils	0.0206218253158426	0.0217495338178102	0.830376099778277
Epithelial cells	0.262755724245715	0.370847539689287	0.097773781896646
Erythrocytes	1.90122675498233e-19	0.000264488942427712	0.00443968007910507
Fibroblasts	0.225920409652763	0.0453372353870153	0.0300703402519961
GMP	0.0111317172529334	0.00882768063640453	0.689559164476211
Hepatocytes	0.0143765242073804	0.00761325304460939	0.0264567699655333
HSC	0.261355858066056	0.0967696472822113	0.0395703118642985
iDC	0.107373093991112	0.0707100518003295	0.553336604843738
Keratinocytes	0.080925556402006	0.150055846355248	0.0864571773887308
ly Endothelial cells	0.0544491069729062	0.0201419085192063	0.0633244396227637
Macrophages	0.00384038588962058	0.0117713975470288	0.00346925017990969
Macrophages M1	0.00466359336816647	0.00853468715625088	0.117763471082618
Macrophages M2	0.0179967766886947	0.0186851577257739	0.898305626655804
Mast cells	0.0102803294853931	0.00643043223274075	0.164870299678588
Megakaryocytes	0.0462949613324424	0.0190270325151681	0.0101087617558637
Melanocytes	0.0012519812007388	0.0031276282599285	0.0830047437564223
Memory B-cells	0.00253378603924873	0.00622354129884479	0.325896609279711
MEP	0.0145204048461787	0.0505901625378634	1.98329803984134e-05
Mesangial cells	0.0191095483796801	0.0179552132765867	0.801206572778107
Monocytes	0.00395760256544124	0.00707222340577715	0.412953890871225
MPP	1.55976500520617e-18	0.0022710693592518	0.0885869661154713
MSC	0.00393658318743897	0.0798659384167197	8.04600839563445e-13
mv Endothelial cells	0.0394467317047208	0.0189715199590281	0.152828500403204
Myocytes	0.0314126053393383	0.0097170830898149	0.00499934325258576
naive B-cells	0.00173552803776061	0.00128151050788017	0.796353859547659
Neurons	0.0149957618933175	0.00438262768826041	0.077890799405034
Neutrophils	0.0028011472230491	0.00104476785397123	0.212190919670861
NK cells	4.54140836654042e-18	0.000106544517504944	0.318623777768066
NKT	0.0928159560030369	0.0970972531540043	0.828784989282622
Osteoblast	0.0286063558222332	0.0182832807873911	0.413467323859662
pDC	0.00637673606769948	0.0124090299999982	0.0451390191208456
Pericytes	0.0546096367668232	0.0734317613205289	0.526051960302278
Plasma cells	0.0505266879002048	0.0322699442861987	0.241710614540266
Platelets	0.00681083342482709	0.00289408170208042	0.443978631611334
Preadipocytes	0.15861873543176	0.0373111371493998	0.00260210042618467
pro B-cells	0.0025808970850617	0.0101321213609324	0.00429538467410519
Sebocytes	0.0578446524926731	0.101845972577354	0.191853806545851
Skeletal muscle	0.00110107602418156	0.00549275448571488	6.95461790121626e-05
Smooth muscle	0.115399466426087	0.120054743330416	0.817286701614458
Tgd cells	4.19710313328659e-19	0.000365697247603046	0.0333820699465237
Th1 cells	0.00727210833395814	0.0657505838327507	6.68490230511597e-11
Th2 cells	0.0216175376644135	0.221353959134429	1.72181459541736e-17
Tregs	0.000672259033923407	0.00202225498587694	0.0817575230856441
