Sample	Annotation	StemnessScore
TCGA-S8-A6BW-01A	TP	0.550148366075833
TCGA-L5-A4OQ-01A	TP	0.579508288284946
TCGA-L5-A4OQ-11A	NT	0
TCGA-L5-A88Y-01A	TP	0.432143372381707
TCGA-2H-A9GO-01A	TP	0.842587833471345
TCGA-LN-A4MQ-01A	TP	0.648674862897986
TCGA-Z6-AAPN-01A	TP	0.666671875268231
TCGA-L5-A4OO-01A	TP	0.315113989166529
TCGA-IG-A3Y9-01A	TP	0.429257006414073
TCGA-L5-A8NI-01A	TP	0.647061316262524
TCGA-Z6-A9VB-01A	TP	0.854606932291478
TCGA-JY-A93F-01A	TP	0.803240631612892
TCGA-L5-A43M-01A	TP	0.464208805403167
TCGA-L5-A43E-01A	TP	0.790529416520687
TCGA-L5-A43I-01A	TP	0.736114128286239
TCGA-JY-A6FD-01A	TP	0.635976566422201
TCGA-JY-A6FA-01A	TP	0.879807348628383
TCGA-L5-A4OF-11A	NT	0.489495710227359
TCGA-R6-A6Y2-01B	TP	0.464121599541297
TCGA-LN-A49W-01A	TP	0.465872292157503
TCGA-R6-A8WC-01A	TP	0.980116698241327
TCGA-ZR-A9CJ-01B	TP	0.472122128102969
TCGA-IC-A6RF-01A	TP	0.705200406560623
TCGA-LN-A4A9-01A	TP	0.221958169801124
TCGA-VR-A8ET-01A	TP	0.63020420457087
TCGA-V5-AASW-01A	TP	0.958797809811767
TCGA-L5-A8NH-01A	TP	0.82088348076464
TCGA-L5-A8NN-01A	TP	0.787142704013928
TCGA-IG-A7DP-01A	TP	0.334235937962055
TCGA-L5-A4OE-01A	TP	0.635243398617846
TCGA-L5-A43H-01A	TP	0.502780070120923
TCGA-L5-A891-01A	TP	0.934882647419133
TCGA-L5-A4OX-01A	TP	0.917400414805587
TCGA-L5-A43C-01A	TP	0.347772334757897
TCGA-VR-AA7B-01A	TP	0.523642933248313
TCGA-R6-A6DQ-01B	TP	0.640191462927175
TCGA-IG-A97I-01A	TP	0.510765593546627
TCGA-IC-A6RF-11A	NT	0.643090375975837
TCGA-JY-A939-01A	TP	0.552457245562945
TCGA-IG-A6QS-01A	TP	0.740971980776473
TCGA-L5-A88V-01A	TP	0.88709640455775
TCGA-LN-A4A3-01A	TP	0.71449778337293
TCGA-L5-A8NR-01A	TP	0.571554967455503
TCGA-VR-A8Q7-01A	TP	0.888648066812004
TCGA-LN-A49N-01A	TP	0.257736493574778
TCGA-LN-A4MR-01A	TP	0.423292235949714
TCGA-VR-AA7D-01A	TP	0.7706565615523
TCGA-M9-A5M8-01A	TP	0.766409333145135
TCGA-Q9-A6FU-01A	TP	0.493915400039784
TCGA-LN-A9FO-01A	TP	0.852833994174164
TCGA-L5-A4OJ-11A	NT	0.325881106919154
TCGA-JY-A6FG-01A	TP	0.523671642454984
TCGA-2H-A9GR-01A	TP	0.620366325012226
TCGA-L5-A8NT-01A	TP	0.292771226548928
TCGA-L5-A4OW-01A	TP	0.738973069650111
TCGA-L7-A56G-01A	TP	0.59789601499348
TCGA-L5-A4OR-11A	NT	0.399425225321969
TCGA-JY-A6FH-01A	TP	0.820908597954733
TCGA-VR-A8EP-01A	TP	0.809876869108038
TCGA-2H-A9GF-01A	TP	0.711551967090591
TCGA-VR-A8EW-01A	TP	0.794138863569916
TCGA-LN-A4A5-01A	TP	0.358082274311666
TCGA-IG-A3QL-01A	TP	0.771330885119305
TCGA-LN-A4A1-01A	TP	0.535559861466747
TCGA-2H-A9GI-01A	TP	0.7990877386039
TCGA-LN-A49O-01A	TP	0.742889794444752
TCGA-LN-A49K-01A	TP	0.644297880217156
TCGA-L5-A8NJ-01A	TP	0.916445477467069
TCGA-L5-A893-01A	TP	0.585575928730743
TCGA-IG-A8O2-01A	TP	0.832016798192576
TCGA-2H-A9GN-01A	TP	0.8430130252437
TCGA-L5-A4OG-01A	TP	0.68831281348105
TCGA-LN-A5U5-01A	TP	0.71517770552888
TCGA-R6-A6DN-01B	TP	0.954652094889287
TCGA-L5-A4OU-01A	TP	0.554663236221563
TCGA-IG-A97H-01A	TP	0.621617060188571
TCGA-VR-A8EZ-01A	TP	0.856112672534428
TCGA-L5-A8NG-01A	TP	0.510490890920408
TCGA-L5-A8NW-01A	TP	0.504015497324167
TCGA-L5-A4OP-01A	TP	0.579146493615847
TCGA-VR-A8ER-01A	TP	0.681756073093555
TCGA-LN-A5U6-01A	TP	0.56541473925614
TCGA-IC-A6RE-01A	TP	0.605760262776936
TCGA-RE-A7BO-01A	TP	0.876655634767677
TCGA-XP-A8T6-01A	TP	0.617041051617061
TCGA-JY-A6FB-01A	TP	0.775912559962728
TCGA-2H-A9GK-01A	TP	0.496689336033458
TCGA-VR-AA7I-01A	TP	0.399501347309902
TCGA-VR-A8EY-01A	TP	0.88814631027609
TCGA-LN-A49X-01A	TP	0.501918958927101
TCGA-L5-A8NS-01A	TP	0.358797145207987
TCGA-L5-A88W-01A	TP	0.704550750399695
TCGA-L5-A8NK-01A	TP	0.539352228925191
TCGA-L5-A4OM-11A	NT	0.300163162219317
TCGA-IG-A5B8-01A	TP	0.639924925372773
TCGA-IC-A6RE-11A	NT	0.54646728150016
TCGA-VR-A8EX-01A	TP	0.823323046499772
TCGA-LN-A49R-01A	TP	0.554767416823271
TCGA-R6-A6L4-01A	TP	0.644333568350329
TCGA-L5-A8NM-01A	TP	0.831223685577739
TCGA-LN-A7HV-01A	TP	0.718632405272717
TCGA-LN-A8I1-01A	TP	0.683307822096298
TCGA-LN-A4A6-01A	TP	0.885141169426512
TCGA-LN-A49M-01A	TP	0.633064570767552
TCGA-2H-A9GM-01A	TP	0.619085538771943
TCGA-V5-AASX-01A	TP	0.713965963580702
TCGA-L5-A43J-01A	TP	0.501748661837324
TCGA-LN-A49P-01A	TP	0.54731244499241
TCGA-L5-A8NL-01A	TP	0.408793086465441
TCGA-JY-A938-01A	TP	0.688090186784418
TCGA-R6-A8WG-01A	TP	0.70499392002584
TCGA-IG-A51D-01A	TP	0.752630709876427
TCGA-LN-A7HX-01A	TP	0.650037098884114
TCGA-L5-A8NF-01A	TP	0.652600467147861
TCGA-L5-A4OF-01A	TP	0.536987404455695
TCGA-2H-A9GJ-01A	TP	0.729451320074124
TCGA-2H-A9GQ-01A	TP	0.702695490292201
TCGA-L5-A8NU-01A	TP	0.24621348876005
TCGA-R6-A6XQ-01B	TP	0.832934520977672
TCGA-L5-A4OG-11A	NT	0.244442783934699
TCGA-LN-A49L-01A	TP	0.911875165082781
TCGA-Z6-A8JE-01A	TP	0.643062640024651
TCGA-JY-A93D-01A	TP	0.275297745278914
TCGA-LN-A4A8-01A	TP	0.604343026303788
